A Substância,2024,8.0/10,"A fading celebrity decides to use a black-market drug, a cell-replicating substance that temporarily creates a younger, better version of herself."
Rebel Ridge,2024,6.9/10,A former Marine grapples his way through a web of small-town corruption when an attempt to post bail for his cousin escalates into a violent standoff with the local police chief.
Os Fantasmas Ainda se Divertem - Beetlejuice Beetlejuice,2024,7.0/10,"After a family tragedy, three generations of the Deetz family return home to Winter River. Still haunted by Beetlejuice, Lydia's life is turned upside down when her teenage daughter, Astrid,... Read all"
Feios,2024,4.8/10,A world in which a compulsory operation wipes out physical differences and makes everyone pretty.
Não Fale o Mal,2024,7.2/10,"A family is invited to spend a whole weekend in a lonely home in the countryside, but as the weekend progresses, they realize that a dark side lies within the family who invited them."
Os Fantasmas se Divertem,1988,7.5/10,"The spirits of a deceased couple are harassed by an unbearable family that has moved into their home, and hire a malicious spirit to drive them out."
Am I Racist?,2024,7.5/10,"A man investigates diversity, equity and inclusion practices, exposing absurdities through undercover social experiments."
Subservience,2024,5.0/10,"Follows a struggling father who purchases a domestic SIM to help care for his house and family, unaware she will gain awareness and turn deadly."
Guerra Civil,2024,7.0/10,"A journey across a dystopian future America, following a team of military-embedded journalists as they race against time to reach DC before rebel factions descend upon the White House."
Pisque Duas Vezes,2024,6.6/10,"When tech billionaire Slater King meets cocktail waitress Frida at his fundraising gala, he invites her to join him and his friends on a dream vacation on his private island. As strange thin... Read all"
Transformers: O Início,2024,7.9/10,"The untold origin story of Optimus Prime and Megatron, better known as sworn enemies, but who once were friends bonded like brothers who changed the fate of Cybertron forever."
Deadpool & Wolverine,2024,8.0/10,"Deadpool is offered a place in the Marvel Cinematic Universe by the Time Variance Authority, but instead recruits a variant of Wolverine to save his universe from extinction."
O Corvo,2024,4.7/10,"Soulmates Eric and Shelly are brutally murdered. Given a chance to save the love of his life, Eric must sacrifice himself and traverse the worlds of the living and the dead, seeking revenge."
Longlegs - Vínculo Mortal,2024,6.7/10,"In pursuit of a serial killer, an FBI agent uncovers a series of occult clues that she must solve to end his terrifying killing spree."
SETOR 36,2024,7.3/10,"A fictional story Inspired by true events, several children go missing from a basti (slum) in Sector 36. A determined police officer must now face off with a cunning serial killer as a chill... Read all"
Alien: Romulus,2024,7.4/10,"While scavenging the deep ends of a derelict space station, a group of young space colonists come face to face with the most terrifying life form in the universe."
Eden,2024,7.0/10,Follows a group of people fueled by a profound desire for change; in order to turn their back to society they leave everything behind and set their futures on the harsh landscape of the Gala... Read all
Armadilha,2024,6.0/10,A father and his teen daughter attend a pop concert only to realize they've entered the center of a dark and sinister event.
A Hora do Vampiro,2024,7.4/10,Author Ben Mears returns to his childhood home of Jerusalem's Lot in search of inspiration for his next book only to discover his hometown is being preyed upon by a bloodthirsty vampire.
Megalópolis,2024,6.0/10,"The city of New Rome is the main conflict between Cesar Catilina, a brilliant artist in favor of a utopian future, and the greedy mayor Franklyn Cicero. Between them is Julia Cicero, her loy... Read all"
O Dublê,2024,6.9/10,"A stuntman, fresh off an almost career-ending accident, has to track down a missing movie star, solve a conspiracy and try to win back the love of his life while still doing his day job. Wha... Read all"
É Assim que Acaba,2024,6.6/10,"When a woman's first love suddenly reenters her life, her relationship with a charming, but abusive neurosurgeon is upended and she realizes she must learn to rely on her own strength to mak... Read all"
